Date,Team,Player,Acquired,Relinquished,Notes,EstimatedDaysOut
2023-12-20,Clippers,Bones Hyland,Bones Hyland,,activated from IL,4.0
2025-01-25,Clippers,Cam Christie,,Cam Christie,ankle injury (DTD),
2021-12-23,Nets,Cam Thomas,,Cam Thomas,placed on IL with NBA health and safety protocols,
2021-12-29,Nets,Cam Thomas,Cam Thomas,,activated from IL,6.0
2022-03-15,Nets,Cam Thomas,,Cam Thomas,back injury (DTD),
2022-03-16,Nets,Cam Thomas,Cam Thomas,,returned to lineup,1.0
2023-11-09,Nets,Cam Thomas,,Cam Thomas,placed on IL with sprained left ankle,
2023-11-30,Nets,Cam Thomas,Cam Thomas,,activated from IL,21.0
2024-02-27,Nets,Cam Thomas,,Cam Thomas,placed on IL with sprained right ankle,
2024-03-09,Nets,Cam Thomas,Cam Thomas,,activated from IL,11.0
2024-03-25,Nets,Cam Thomas,,Cam Thomas,tightness in lower back (DTD),
2024-03-27,Nets,Cam Thomas,Cam Thomas,,returned to lineup,2.0
2024-11-19,Nets,Cam Thomas,,Cam Thomas,tightness in lower back (DTD),
2024-11-22,Nets,Cam Thomas,Cam Thomas,,returned to lineup,3.0
2024-11-26,Nets,Cam Thomas,,Cam Thomas,placed on IL with strained left hamstring,
2024-12-29,Nets,Cam Thomas,Cam Thomas,,activated from IL,33.0
2024-12-31,Nets,Cam Thomas,,Cam Thomas,left hamstring injury (DTD),
2025-01-02,Nets,Cam Thomas,Cam Thomas,,returned to lineup,2.0
2025-01-04,Nets,Cam Thomas,,Cam Thomas,placed on IL with strained left hamstring,
2025-02-27,Nets,Cam Thomas,Cam Thomas,,activated from IL,54.0
2025-03-01,Nets,Cam Thomas,,Cam Thomas,left hamstring injury (DTD),
2025-03-03,Nets,Cam Thomas,Cam Thomas,,returned to lineup,2.0
2025-03-09,Nets,Cam Thomas,,Cam Thomas,placed on IL with hamstring injury,
2025-03-11,Nets,Cam Thomas,Cam Thomas,,activated from IL,2.0
2025-03-15,Nets,Cam Thomas,,Cam Thomas,strained left hamstring (out for season),
2021-04-28,Pelicans,Didi Louzada,,Didi Louzada,NBA health and safety protocols (DTD),
2022-01-23,Pelicans,Didi Louzada,,Didi Louzada,placed on IL with torn meniscus in left knee,
2022-03-30,Blazers,Didi Louzada,Didi Louzada,,activated from IL,66.0
2015-10-27,Hawks,Edy Tavares,,Edy Tavares,placed on IL,
2015-10-29,Hawks,Edy Tavares,Edy Tavares,,activated from IL,2.0
2015-11-01,Hawks,Edy Tavares,,Edy Tavares,placed on IL,
2015-11-07,Hawks,Edy Tavares,Edy Tavares,,activated from IL,6.0
2015-11-09,Hawks,Edy Tavares,,Edy Tavares,placed on IL,
2015-11-17,Hawks,Edy Tavares,Edy Tavares,,activated from IL,8.0
2015-11-21,Hawks,Edy Tavares,,Edy Tavares,placed on IL,
2015-11-24,Hawks,Edy Tavares,Edy Tavares,,activated from IL,3.0
2015-11-28,Hawks,Edy Tavares,,Edy Tavares,placed on IL,
2015-11-30,Hawks,Edy Tavares,Edy Tavares,,activated from IL,2.0
2015-12-04,Hawks,Edy Tavares,,Edy Tavares,placed on IL,
2015-12-10,Hawks,Edy Tavares,Edy Tavares,,activated from IL,6.0
2015-12-14,Hawks,Edy Tavares,,Edy Tavares,placed on IL,
2015-12-28,Hawks,Edy Tavares,Edy Tavares,,activated from IL,14.0
2016-01-07,Hawks,Edy Tavares,,Edy Tavares,placed on IL,
2016-01-23,Hawks,Edy Tavares,Edy Tavares,,activated from IL,16.0
2016-01-25,Hawks,Edy Tavares,,Edy Tavares,placed on IL,
2016-02-01,Hawks,Edy Tavares,Edy Tavares,,activated from IL,7.0
2016-02-08,Hawks,Edy Tavares,,Edy Tavares,placed on IL,
2016-02-19,Hawks,Edy Tavares,Edy Tavares,,activated from IL,11.0
2016-04-16,Hawks,Edy Tavares,,Edy Tavares,placed on IL,
2017-04-15,Cavaliers,Edy Tavares,,Edy Tavares,placed on IL,
2017-05-13,Cavaliers,Edy Tavares,,Edy Tavares,fractured right hand (out for season),
2017-01-26,Thunder,Enes Freedom,,Enes Freedom,fractured right arm / hand (out indefinitely),
2017-01-27,Thunder,Enes Freedom,,Enes Freedom,surgery on right arm / hand to repair fracture (out indefinitely),
2017-01-29,Thunder,Enes Freedom,,Enes Freedom,placed on IL recovering from surgery on right arm / hand to repair fracture,
2017-02-24,Thunder,Enes Freedom,Enes Freedom,,activated from IL,26.0
2017-11-24,Knicks,Enes Freedom,,Enes Freedom,placed on IL with back spasms,
2017-11-29,Knicks,Enes Freedom,Enes Freedom,,activated from IL,5.0
2018-02-08,Knicks,Enes Freedom,,Enes Freedom,oral surgery (DTD),
2018-02-11,Knicks,Enes Freedom,Enes Freedom,,returned to lineup,3.0
2018-03-11,Knicks,Enes Freedom,,Enes Freedom,back spasms (DTD),
2018-03-13,Knicks,Enes Freedom,Enes Freedom,,returned to lineup,2.0
2018-03-31,Knicks,Enes Freedom,,Enes Freedom,placed on IL with sore lower back (out for season),
2019-01-11,Knicks,Enes Freedom,,Enes Freedom,placed on IL with illness,
2019-01-21,Knicks,Enes Freedom,Enes Freedom,,activated from IL,10.0
2019-10-24,Celtics,Enes Freedom,,Enes Freedom,bruised left knee (DTD),
2019-10-25,Celtics,Enes Freedom,,Enes Freedom,placed on IL with bruised left knee,
2019-11-05,Celtics,Enes Freedom,Enes Freedom,,activated from IL,11.0
2019-11-05,Celtics,Enes Freedom,,Enes Freedom,bruised left knee (DTD),
2019-11-07,Celtics,Enes Freedom,,Enes Freedom,placed on IL with bruised left knee,
2019-11-11,Celtics,Enes Freedom,Enes Freedom,,activated from IL,4.0
2020-01-23,Celtics,Enes Freedom,,Enes Freedom,bruised right hip (DTD),
2020-01-24,Celtics,Enes Freedom,,Enes Freedom,placed on IL with bruised right hip,
2020-02-03,Celtics,Enes Freedom,Enes Freedom,,activated from IL,10.0
2021-12-23,Celtics,Enes Kanter,,Enes Kanter,placed on IL with NBA health and safety protocols,
2022-01-04,Celtics,Enes Kanter,Enes Kanter,,activated from IL,12.0
2024-03-08,Grizzlies,G.G. Jackson,,G.G. Jackson,sore left knee (DTD),
2024-03-10,Grizzlies,G.G. Jackson,G.G. Jackson,,returned to lineup,2.0
2024-10-23,Grizzlies,G.G. Jackson,,G.G. Jackson,placed on IL with surgery on foot,
2025-01-19,Grizzlies,G.G. Jackson,G.G. Jackson,,activated from IL,88.0
2025-02-28,Grizzlies,G.G. Jackson,,G.G. Jackson,placed on IL with eye injury,
2025-03-01,Grizzlies,G.G. Jackson,G.G. Jackson,,activated from IL,1.0
2016-10-26,Kings,George Papagiannis,,George Papagiannis,placed on IL,
2016-11-05,Kings,George Papagiannis,George Papagiannis,,activated from IL,10.0
2016-11-06,Kings,George Papagiannis,,George Papagiannis,placed on IL,
2016-12-28,Kings,George Papagiannis,George Papagiannis,,activated from IL,52.0
2017-01-03,Kings,George Papagiannis,,George Papagiannis,placed on IL,
2017-01-20,Kings,George Papagiannis,George Papagiannis,,activated from IL,17.0
2017-10-20,Kings,George Papagiannis,,George Papagiannis,placed on IL,
2017-10-29,Kings,George Papagiannis,George Papagiannis,,activated from IL,9.0
2017-11-01,Kings,George Papagiannis,,George Papagiannis,placed on IL,
2017-11-04,Kings,George Papagiannis,George Papagiannis,,activated from IL,3.0
2017-11-07,Kings,George Papagiannis,,George Papagiannis,placed on IL,
2017-11-13,Kings,George Papagiannis,George Papagiannis,,activated from IL,6.0
2017-11-17,Kings,George Papagiannis,,George Papagiannis,placed on IL,
2017-12-08,Kings,George Papagiannis,George Papagiannis,,activated from IL,21.0
2017-12-14,Kings,George Papagiannis,,George Papagiannis,placed on IL,
2017-12-17,Kings,George Papagiannis,George Papagiannis,,activated from IL,3.0
2018-01-09,Kings,George Papagiannis,,George Papagiannis,placed on IL with upset stomach,
2018-01-10,Kings,George Papagiannis,George Papagiannis,,activated from IL,1.0
2018-01-17,Kings,George Papagiannis,George Papagiannis,,activated from IL,
2018-03-30,Blazers,George Papagiannis,,George Papagiannis,placed on IL,
2018-04-01,Blazers,George Papagiannis,George Papagiannis,,activated from IL,2.0
2018-04-09,Blazers,George Papagiannis,,George Papagiannis,placed on IL,
2021-11-03,Pelicans,Herb Jones ,,Herb Jones ,placed on IL with concussion protocol,
2021-11-05,Pelicans,Herb Jones ,,Herb Jones ,placed on IL with sprained left ankle,
2021-11-10,Pelicans,Herb Jones ,Herb Jones ,,activated from IL,5.0
2022-04-10,Pelicans,Herb Jones ,,Herb Jones ,placed on IL with tibia injury,
2022-04-12,Pelicans,Herb Jones ,Herb Jones ,,activated from IL,2.0
2022-10-25,Pelicans,Herb Jones ,,Herb Jones ,placed on IL with hyperextended right knee,
2022-11-04,Pelicans,Herb Jones ,Herb Jones ,,activated from IL,10.0
2022-12-01,Pelicans,Herb Jones ,,Herb Jones ,placed on IL with sore left ankle,
2022-12-13,Pelicans,Herb Jones ,Herb Jones ,,activated from IL,12.0
2022-12-26,Pelicans,Herb Jones ,,Herb Jones ,placed on IL with NBA health and safety protocols,
2022-12-30,Pelicans,Herb Jones ,Herb Jones ,,activated from IL,4.0
2023-01-11,Pelicans,Herb Jones ,,Herb Jones ,placed on IL with bruised lower back,
2023-01-20,Pelicans,Herb Jones ,Herb Jones ,,activated from IL,9.0
2023-11-08,Pelicans,Herb Jones ,,Herb Jones ,placed on IL with leg injury,
2023-11-14,Pelicans,Herb Jones ,Herb Jones ,,activated from IL,6.0
2024-01-31,Pelicans,Herb Jones ,,Herb Jones ,placed on IL with right adductor injury,
2024-02-05,Pelicans,Herb Jones ,Herb Jones ,,activated from IL,5.0
2024-03-16,Pelicans,Herb Jones ,,Herb Jones ,bruised lower back (DTD),
2024-03-19,Pelicans,Herb Jones ,Herb Jones ,,returned to lineup,3.0
2024-10-30,Pelicans,Herb Jones ,,Herb Jones ,placed on IL with strained right shoulder,
2024-12-05,Pelicans,Herb Jones ,Herb Jones ,,activated from IL,36.0
2025-01-09,Pelicans,Herb Jones ,,Herb Jones ,placed on IL with torn labrum in right shoulder,
2025-02-12,Pelicans,Herb Jones ,,Herb Jones ,surgery on right shoulder to repair torn labrum (out for season),
2021-03-25,76ers,Iggy Brazdeikis,,Iggy Brazdeikis,placed on IL with NBA health and safety protocols,
2021-03-30,76ers,Iggy Brazdeikis,Iggy Brazdeikis,,activated from IL,5.0
2021-12-16,Magic,Iggy Brazdeikis,,Iggy Brazdeikis,placed on IL with NBA health and safety protocols,
2021-12-27,Magic,Iggy Brazdeikis,Iggy Brazdeikis,,activated from IL,11.0
2016-02-06,76ers,Ish Smith,,Ish Smith,sprained left ankle (DTD),
2016-02-08,76ers,Ish Smith,Ish Smith,,returned to lineup,2.0
2018-12-07,Pistons,Ish Smith,,Ish Smith,placed on IL with right adductor injury,
2019-01-14,Pistons,Ish Smith,Ish Smith,,activated from IL,38.0
2019-01-19,Pistons,Ish Smith,,Ish Smith,placed on IL with right adductor injury,
2019-02-02,Pistons,Ish Smith,Ish Smith,,activated from IL,14.0
2019-02-05,Pistons,Ish Smith,,Ish Smith,placed on IL with right adductor injury,
2019-02-08,Pistons,Ish Smith,Ish Smith,,activated from IL,3.0
2020-03-04,Wizards,Ish Smith,,Ish Smith,left hamstring injury (DTD),
2020-03-08,Wizards,Ish Smith,,Ish Smith,placed on IL with left hamstring injury,
2020-07-31,Wizards,Ish Smith,Ish Smith,,activated from IL,145.0
2021-01-20,Wizards,Ish Smith,,Ish Smith,NBA health and safety protocols (DTD),
2021-01-24,Wizards,Ish Smith,,Ish Smith,placed on IL with NBA health and safety protocols,
2021-01-30,Wizards,Ish Smith,Ish Smith,,activated from IL,6.0
2021-02-13,Wizards,Ish Smith,,Ish Smith,placed on IL with strained right quadriceps,
2021-04-02,Wizards,Ish Smith,Ish Smith,,activated from IL,48.0
2021-12-06,Hornets,Ish Smith,,Ish Smith,placed on IL with NBA health and safety protocols,
2021-12-15,Hornets,Ish Smith,Ish Smith,,activated from IL,9.0
2022-11-03,Nuggets,Ish Smith,,Ish Smith,placed on IL with right calf injury,
2022-11-25,Nuggets,Ish Smith,Ish Smith,,activated from IL,22.0
2021-12-26,Suns,Ish Wainright,,Ish Wainright,sore lower back (DTD),
2021-12-29,Suns,Ish Wainright,,Ish Wainright,placed on IL with sore lower back,
2021-12-31,Suns,Ish Wainright,Ish Wainright,,activated from IL,2.0
2022-01-10,Suns,Ish Wainright,,Ish Wainright,placed on IL with NBA health and safety protocols,
2022-01-14,Suns,Ish Wainright,Ish Wainright,,activated from IL,4.0
2022-10-25,Suns,Ish Wainright,,Ish Wainright,sore lower back (DTD),
2022-11-14,Suns,Ish Wainright,Ish Wainright,,returned to lineup,20.0
2023-10-25,Blazers,Ish Wainright,,Ish Wainright,placed on IL with strained right calf,
2023-11-12,Blazers,Ish Wainright,Ish Wainright,,activated from IL,18.0
2023-11-17,Blazers,Ish Wainright,,Ish Wainright,sprained MCL in left knee (DTD),
2023-11-19,Blazers,Ish Wainright,,Ish Wainright,placed on IL with sprained MCL in left knee,
2023-12-15,Blazers,Ish Wainright,Ish Wainright,,activated from IL,26.0
2015-11-27,Mavericks,J.J. Barea,,J.J. Barea,sprained right ankle (DTD),
2015-11-28,Mavericks,J.J. Barea,,J.J. Barea,placed on IL with sprained right ankle,
2015-12-09,Mavericks,J.J. Barea,J.J. Barea,,activated from IL,11.0
2016-04-10,Mavericks,J.J. Barea,,J.J. Barea,strained right groin (DTD),
2016-04-11,Mavericks,J.J. Barea,J.J. Barea,,returned to lineup,1.0
2016-04-13,Mavericks,J.J. Barea,,J.J. Barea,strained right groin (DTD),
2016-04-16,Mavericks,J.J. Barea,J.J. Barea,,returned to lineup,3.0
2016-04-18,Mavericks,J.J. Barea,,J.J. Barea,strained right groin (DTD),
2016-04-21,Mavericks,J.J. Barea,J.J. Barea,,returned to lineup,3.0
2016-10-24,Mavericks,J.J. Barea,,J.J. Barea,sore elbow (DTD),
2016-10-26,Mavericks,J.J. Barea,J.J. Barea,,returned to lineup,2.0
2016-11-09,Mavericks,J.J. Barea,,J.J. Barea,rest (DTD),
2016-11-14,Mavericks,J.J. Barea,J.J. Barea,,returned to lineup,5.0
2016-11-17,Mavericks,J.J. Barea,,J.J. Barea,torn calf muscle in left leg / strained left calf (out indefinitely),
2016-11-23,Mavericks,J.J. Barea,,J.J. Barea,placed on IL with strained left calf,
2016-12-19,Mavericks,J.J. Barea,J.J. Barea,,activated from IL,26.0
2016-12-23,Mavericks,J.J. Barea,,J.J. Barea,placed on IL with sore left Achilles,
2017-01-07,Mavericks,J.J. Barea,J.J. Barea,,activated from IL,15.0
2017-01-20,Mavericks,J.J. Barea,,J.J. Barea,strained left calf (DTD),
2017-01-22,Mavericks,J.J. Barea,,J.J. Barea,strained left calf (DTD),
2017-01-25,Mavericks,J.J. Barea,,J.J. Barea,placed on IL with strained hamstring,
2017-03-10,Mavericks,J.J. Barea,J.J. Barea,,activated from IL,44.0
2017-04-09,Mavericks,J.J. Barea,,J.J. Barea,rest (DTD),
2017-04-11,Mavericks,J.J. Barea,J.J. Barea,,returned to lineup,2.0
2017-04-12,Mavericks,J.J. Barea,,J.J. Barea,placed on IL (out for season),
2018-01-16,Mavericks,J.J. Barea,,J.J. Barea,strained left groin (DTD),
2018-01-20,Mavericks,J.J. Barea,J.J. Barea,,returned to lineup,4.0
2018-01-27,Mavericks,J.J. Barea,,J.J. Barea,strained left oblique (DTD),
2018-01-29,Mavericks,J.J. Barea,,J.J. Barea,placed on IL with strained left oblique,
2018-02-03,Mavericks,J.J. Barea,J.J. Barea,,activated from IL,5.0
2018-02-11,Mavericks,J.J. Barea,,J.J. Barea,rest (DTD),
2018-03-17,Mavericks,J.J. Barea,,J.J. Barea,placed on IL with strained left rib muscle,
2018-03-20,Mavericks,J.J. Barea,J.J. Barea,,activated from IL,3.0
2018-04-06,Mavericks,J.J. Barea,,J.J. Barea,placed on IL with strained left oblique (out for season),
2018-11-19,Mavericks,J.J. Barea,,J.J. Barea,strained left adductor (DTD),
2018-11-21,Mavericks,J.J. Barea,J.J. Barea,,returned to lineup,2.0
2018-12-13,Mavericks,J.J. Barea,,J.J. Barea,placed on IL with sprained left ankle,
2018-12-18,Mavericks,J.J. Barea,J.J. Barea,,activated from IL,5.0
2019-01-05,Mavericks,J.J. Barea,,J.J. Barea,placed on IL with sore left ankle,
2019-01-07,Mavericks,J.J. Barea,J.J. Barea,,activated from IL,2.0
2019-01-12,Mavericks,J.J. Barea,,J.J. Barea,torn right Achilles tendon (out for season),
2019-01-13,Mavericks,J.J. Barea,,J.J. Barea,placed on IL with torn right Achilles tendon (out for season),
2020-02-05,Mavericks,J.J. Barea,,J.J. Barea,placed on IL with sprained left ankle,
2020-02-07,Mavericks,J.J. Barea,J.J. Barea,,activated from IL,2.0
2020-03-04,Mavericks,J.J. Barea,,J.J. Barea,placed on IL with sore right ankle,
2020-03-06,Mavericks,J.J. Barea,J.J. Barea,,activated from IL,2.0
2017-10-18,Nets,Jake Wiley,,Jake Wiley,placed on IL,
2017-10-29,Nets,Jake Wiley,Jake Wiley,,activated from IL,11.0
2017-11-14,Nets,Jake Wiley,,Jake Wiley,placed on IL,
2018-01-03,Nets,Jake Wiley,Jake Wiley,,activated from IL,50.0
2018-01-08,Nets,Jake Wiley,,Jake Wiley,placed on IL,
2015-11-24,Warriors,James McAdoo ,,James McAdoo ,placed on IL,
