Date,Team,Player,Relinquished,Notes,EstimatedDaysOut,Year,Month,YearMonth,DurationCategory,InjuryKeyword,EstimatedDaysOutFromNotes,Injury_Start,Injury_End,Actual_Duration_Days,InSeason_Duration_Days,DayOfWeek
5/14/2021,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with right calf injury,,2021,May,2021-05,other / unspecified,calf,,3/26/2021,3/28/2021,2,3,Friday
12/23/2021,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with left hamstring injury,,2021,December,2021-12,other / unspecified,hamstring,,3/26/2021,3/28/2021,2,3,Thursday
2/2/2022,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with left hamstring injury,,2022,February,2022-02,other / unspecified,hamstring,,3/26/2021,3/28/2021,2,3,Wednesday
2/4/2022,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with left hamstring injury,,2022,February,2022-02,other / unspecified,hamstring,,3/26/2021,3/28/2021,2,3,Friday
3/12/2022,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with sore right foot,,2022,March,2022-03,other / unspecified,foot,,3/26/2021,3/28/2021,2,3,Saturday
4/10/2022,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with left hamstring injury (out for season),,2022,April,2022-04,out for season,hamstring,180,3/26/2021,3/28/2021,2,3,Sunday
11/16/2022,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with illness,,2022,November,2022-11,other / unspecified,illness,,3/26/2021,3/28/2021,2,3,Wednesday
12/27/2022,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with strained right shoulder,,2022,December,2022-12,other / unspecified,shoulder,,3/26/2021,3/28/2021,2,3,Tuesday
2/2/2023,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with sprained left ankle,,2023,February,2023-02,other / unspecified,ankle,,3/26/2021,3/28/2021,2,3,Thursday
2/5/2023,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with sprained left ankle,,2023,February,2023-02,other / unspecified,ankle,,3/26/2021,3/28/2021,2,3,Sunday
2/11/2023,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with bruised left ribcage,,2023,February,2023-02,other / unspecified,rib,,3/26/2021,3/28/2021,2,3,Saturday
4/6/2023,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with right shoulder inflammation,,2023,April,2023-04,other / unspecified,shoulder,,3/26/2021,3/28/2021,2,3,Thursday
11/26/2023,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with strained right heel,,2023,November,2023-11,other / unspecified,Other,,3/26/2021,3/28/2021,2,3,Sunday
12/27/2023,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with various injuries,,2023,December,2023-12,other / unspecified,Other,,3/26/2021,3/28/2021,2,3,Wednesday
3/25/2024,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with sprained right foot,,2024,March,2024-03,other / unspecified,foot,,3/26/2021,3/28/2021,2,3,Monday
4/6/2024,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with strained right foot,,2024,April,2024-04,other / unspecified,foot,,3/26/2021,3/28/2021,2,3,Saturday
11/5/2024,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with strained right calf,,2024,November,2024-11,other / unspecified,calf,,3/26/2021,3/28/2021,2,3,Tuesday
12/7/2024,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with strained right calf,,2024,December,2024-12,other / unspecified,calf,,3/26/2021,3/28/2021,2,3,Saturday
12/26/2024,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with strained right calf,,2024,December,2024-12,other / unspecified,calf,,3/26/2021,3/28/2021,2,3,Thursday
1/15/2025,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with right calf injury,,2025,January,2025-01,other / unspecified,calf,,3/26/2021,3/28/2021,2,3,Wednesday
2/3/2025,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with right calf injury,,2025,February,2025-02,other / unspecified,calf,,3/26/2021,3/28/2021,2,3,Monday
2/12/2025,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with right calf injury,,2025,February,2025-02,other / unspecified,calf,,3/26/2021,3/28/2021,2,3,Wednesday
2/28/2025,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with sprained left ankle,,2025,February,2025-02,other / unspecified,ankle,,3/26/2021,3/28/2021,2,3,Friday
3/10/2025,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with calf injury,,2025,March,2025-03,other / unspecified,calf,,3/26/2021,3/28/2021,2,3,Monday
3/15/2025,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with various injuries,,2025,March,2025-03,other / unspecified,Other,,3/26/2021,3/28/2021,2,3,Saturday
3/24/2025,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with calf injury,,2025,March,2025-03,other / unspecified,calf,,3/26/2021,3/28/2021,2,3,Monday
4/2/2025,Nuggets,Aaron Gordon,Aaron Gordon,calf injury (DTD),,2025,April,2025-04,day-to-day,calf,3,3/26/2021,3/28/2021,2,3,Wednesday
11/1/2015,Hornets,Aaron Harrison,Aaron Harrison,placed on IL,,2015,November,2015-11,other / unspecified,Other,,11/1/2015,11/13/2015,12,13,Sunday
4/10/2016,Hornets,Aaron Harrison,Aaron Harrison,placed on IL,,2016,April,2016-04,other / unspecified,Other,,11/1/2015,11/13/2015,12,13,Sunday
4/17/2016,Hornets,Aaron Harrison,Aaron Harrison,placed on IL,,2016,April,2016-04,other / unspecified,Other,,11/1/2015,11/13/2015,12,13,Sunday
10/28/2016,Hornets,Aaron Harrison,Aaron Harrison,placed on IL,,2016,October,2016-10,other / unspecified,Other,,11/1/2015,11/13/2015,12,13,Friday
11/13/2016,Hornets,Aaron Harrison,Aaron Harrison,placed on IL,,2016,November,2016-11,other / unspecified,Other,,11/1/2015,11/13/2015,12,13,Sunday
11/23/2016,Hornets,Aaron Harrison,Aaron Harrison,placed on IL,,2016,November,2016-11,other / unspecified,Other,,11/1/2015,11/13/2015,12,13,Wednesday
12/7/2016,Hornets,Aaron Harrison,Aaron Harrison,placed on IL,,2016,December,2016-12,other / unspecified,Other,,11/1/2015,11/13/2015,12,13,Wednesday
10/26/2021,76Ers,Aaron Henry,Aaron Henry,placed on IL,,2021,October,2021-10,other / unspecified,Other,,10/26/2021,11/6/2021,11,12,Tuesday
11/11/2021,76Ers,Aaron Henry,Aaron Henry,placed on IL,,2021,November,2021-11,other / unspecified,Other,,10/26/2021,11/6/2021,11,12,Thursday
11/16/2021,76Ers,Aaron Henry,Aaron Henry,placed on IL,,2021,November,2021-11,other / unspecified,Other,,10/26/2021,11/6/2021,11,12,Tuesday
12/30/2021,76Ers,Aaron Henry,Aaron Henry,placed on IL with illness,,2021,December,2021-12,other / unspecified,illness,,10/26/2021,11/6/2021,11,12,Thursday
5/11/2021,Pacers,Aaron Holiday,Aaron Holiday,right big toe injury (out for season),,2021,May,2021-05,out for season,toe,180,5/16/2021,6/15/2021,30,31,Tuesday
5/16/2021,Pacers,Aaron Holiday,Aaron Holiday,placed on IL with right big toe injury (out for season),,2021,May,2021-05,out for season,toe,180,5/16/2021,6/15/2021,30,31,Sunday
12/1/2021,Wizards,Aaron Holiday,Aaron Holiday,placed on IL with illness,,2021,December,2021-12,other / unspecified,illness,,12/1/2021,12/3/2021,2,3,Wednesday
12/27/2021,Wizards,Aaron Holiday,Aaron Holiday,placed on IL with NBA health and safety protocols,,2021,December,2021-12,other / unspecified,Other,,12/1/2021,12/3/2021,2,3,Monday
2/25/2022,Suns,Aaron Holiday,Aaron Holiday,placed on IL with sore right ankle,,2022,February,2022-02,other / unspecified,ankle,,2/25/2022,2/27/2022,2,3,Friday
2/9/2023,Hawks,Aaron Holiday,Aaron Holiday,placed on IL with illness,,2023,February,2023-02,other / unspecified,illness,,2/9/2023,2/11/2023,2,3,Thursday
1/22/2021,Celtics,Aaron Nesmith,Aaron Nesmith,placed on IL with lower back spasms,,2021,January,2021-01,other / unspecified,back,,1/22/2021,1/24/2021,2,3,Friday
12/24/2021,Celtics,Aaron Nesmith,Aaron Nesmith,placed on IL with NBA health and safety protocols,,2021,December,2021-12,other / unspecified,Other,,1/22/2021,1/24/2021,2,3,Friday
1/19/2022,Celtics,Aaron Nesmith,Aaron Nesmith,placed on IL with sprained right ankle,,2022,January,2022-01,other / unspecified,ankle,,1/22/2021,1/24/2021,2,3,Wednesday
3/5/2022,Celtics,Aaron Nesmith,Aaron Nesmith,placed on IL with sprained right ankle,,2022,March,2022-03,other / unspecified,ankle,,1/22/2021,1/24/2021,2,3,Saturday
10/29/2022,Pacers,Aaron Nesmith,Aaron Nesmith,right foot injury (DTD),,2022,October,2022-10,day-to-day,foot,3,10/29/2022,11/9/2022,11,12,Saturday
12/23/2022,Pacers,Aaron Nesmith,Aaron Nesmith,placed on IL with sprained right ankle,,2022,December,2022-12,other / unspecified,ankle,,10/29/2022,11/9/2022,11,12,Friday
1/11/2023,Pacers,Aaron Nesmith,Aaron Nesmith,placed on IL with illness,,2023,January,2023-01,other / unspecified,illness,,10/29/2022,11/9/2022,11,12,Wednesday
3/5/2023,Pacers,Aaron Nesmith,Aaron Nesmith,placed on IL with sore left hip,,2023,March,2023-03,other / unspecified,hip,,10/29/2022,11/9/2022,11,12,Sunday
11/22/2023,Pacers,Aaron Nesmith,Aaron Nesmith,placed on IL with right wrist injury,,2023,November,2023-11,other / unspecified,wrist,,10/29/2022,11/9/2022,11,12,Wednesday
1/13/2024,Pacers,Aaron Nesmith,Aaron Nesmith,placed on IL with shin injury,,2024,January,2024-01,other / unspecified,Other,,10/29/2022,11/9/2022,11,12,Saturday
2/21/2024,Pacers,Aaron Nesmith,Aaron Nesmith,placed on IL with lower leg injury,,2024,February,2024-02,other / unspecified,leg,,10/29/2022,11/9/2022,11,12,Wednesday
3/25/2024,Pacers,Aaron Nesmith,Aaron Nesmith,placed on IL with bruised right knee,,2024,March,2024-03,other / unspecified,knee,,10/29/2022,11/9/2022,11,12,Monday
11/3/2024,Pacers,Aaron Nesmith,Aaron Nesmith,sprained left ankle (DTD),,2024,November,2024-11,day-to-day,ankle,3,10/29/2022,11/9/2022,11,12,Sunday
11/8/2024,Pacers,Aaron Nesmith,Aaron Nesmith,placed on IL with sprained left ankle,,2024,November,2024-11,other / unspecified,ankle,,10/29/2022,11/9/2022,11,12,Friday
3/17/2025,Pacers,Aaron Nesmith,Aaron Nesmith,placed on IL with ankle injury,,2025,March,2025-03,other / unspecified,ankle,,10/29/2022,11/9/2022,11,12,Monday
2/3/2022,Thunder,Aaron Wiggins,Aaron Wiggins,placed on IL with sprained right ankle,,2022,February,2022-02,other / unspecified,ankle,,2/3/2022,2/12/2022,9,10,Thursday
3/1/2022,Thunder,Aaron Wiggins,Aaron Wiggins,sprained right ankle (DTD),,2022,March,2022-03,day-to-day,ankle,3,2/3/2022,2/12/2022,9,10,Tuesday
3/13/2022,Thunder,Aaron Wiggins,Aaron Wiggins,illness (DTD),,2022,March,2022-03,day-to-day,illness,3,2/3/2022,2/12/2022,9,10,Sunday
3/15/2025,Thunder,Aaron Wiggins,Aaron Wiggins,illness (DTD),,2025,March,2025-03,day-to-day,illness,3,2/3/2022,2/12/2022,9,10,Saturday
3/26/2025,Thunder,Aaron Wiggins,Aaron Wiggins,placed on IL with Achilles injury,,2025,March,2025-03,other / unspecified,achilles,,2/3/2022,2/12/2022,9,10,Wednesday
1/16/2018,Celtics,Abdel Nader,Abdel Nader,placed on IL with illness/flu,,2018,January,2018-01,other / unspecified,illness,,1/16/2018,1/18/2018,2,3,Tuesday
10/21/2018,Thunder,Abdel Nader,Abdel Nader,placed on IL,,2018,October,2018-10,other / unspecified,Other,,10/21/2018,10/26/2018,5,6,Sunday
2/3/2019,Thunder,Abdel Nader,Abdel Nader,illness (DTD),,2019,February,2019-02,day-to-day,illness,3,10/21/2018,10/26/2018,5,6,Sunday
1/14/2020,Thunder,Abdel Nader,Abdel Nader,sprained left ankle (DTD),,2020,January,2020-01,day-to-day,ankle,3,10/21/2018,10/26/2018,5,6,Tuesday
1/15/2020,Thunder,Abdel Nader,Abdel Nader,placed on IL with sprained left ankle,,2020,January,2020-01,other / unspecified,ankle,,10/21/2018,10/26/2018,5,6,Wednesday
8/14/2020,Thunder,Abdel Nader,Abdel Nader,placed on IL with neck injury,,2020,August,2020-08,other / unspecified,Other,,10/21/2018,10/26/2018,5,6,Friday
12/22/2020,Suns,Abdel Nader,Abdel Nader,concussion (DTD),,2020,December,2020-12,day-to-day,concussion,3,12/22/2020,1/5/2021,14,15,Tuesday
2/1/2021,Suns,Abdel Nader,Abdel Nader,ankle injury (DTD),,2021,February,2021-02,day-to-day,ankle,3,12/22/2020,1/5/2021,14,15,Monday
2/7/2021,Suns,Abdel Nader,Abdel Nader,sore left ankle (DTD),,2021,February,2021-02,day-to-day,ankle,3,12/22/2020,1/5/2021,14,15,Sunday
3/15/2021,Suns,Abdel Nader,Abdel Nader,sore right knee (DTD),,2021,March,2021-03,day-to-day,knee,3,12/22/2020,1/5/2021,14,15,Monday
3/23/2021,Suns,Abdel Nader,Abdel Nader,placed on IL with sore right knee,,2021,March,2021-03,other / unspecified,knee,,12/22/2020,1/5/2021,14,15,Tuesday
4/26/2021,Suns,Abdel Nader,Abdel Nader,surgery on right knee (out indefinitely),,2021,April,2021-04,indefinitely,knee,30,12/22/2020,1/5/2021,14,15,Monday
11/21/2021,Suns,Abdel Nader,Abdel Nader,right knee injury (DTD),,2021,November,2021-11,day-to-day,knee,3,12/22/2020,1/5/2021,14,15,Sunday
12/10/2021,Suns,Abdel Nader,Abdel Nader,placed on IL with right knee injury,,2021,December,2021-12,other / unspecified,knee,,12/22/2020,1/5/2021,14,15,Friday
11/27/2024,Thunder,Adam Flagler,Adam Flagler,placed on IL with bruised right hand,,2024,November,2024-11,other / unspecified,hand,,11/27/2024,11/29/2024,2,3,Wednesday
12/9/2024,Thunder,Adam Flagler,Adam Flagler,fractured right hand (out indefinitely),,2024,December,2024-12,indefinitely,hand,30,11/27/2024,11/29/2024,2,3,Monday
10/23/2019,Bulls,Adam Mokoka,Adam Mokoka,placed on IL,,2019,October,2019-10,other / unspecified,Other,,10/23/2019,12/28/2019,66,67,Wednesday
1/4/2020,Bulls,Adam Mokoka,Adam Mokoka,placed on IL,,2020,January,2020-01,other / unspecified,Other,,10/23/2019,12/28/2019,66,67,Saturday
1/6/2020,Bulls,Adam Mokoka,Adam Mokoka,right eye injury (DTD),,2020,January,2020-01,day-to-day,Other,3,10/23/2019,12/28/2019,66,67,Monday
1/22/2021,Bulls,Adam Mokoka,Adam Mokoka,placed on IL with concussion,,2021,January,2021-01,concussion protocol,concussion,7,10/23/2019,12/28/2019,66,67,Friday
2/5/2021,Bulls,Adam Mokoka,Adam Mokoka,placed on IL with NBA health and safety protocols,,2021,February,2021-02,other / unspecified,Other,,10/23/2019,12/28/2019,66,67,Friday
2/15/2021,Bulls,Adam Mokoka,Adam Mokoka,placed on IL with NBA health and safety protocols,,2021,February,2021-02,other / unspecified,Other,,10/23/2019,12/28/2019,66,67,Monday
2/19/2021,Bulls,Adam Mokoka,Adam Mokoka,placed on IL with NBA health and safety protocols,,2021,February,2021-02,other / unspecified,Other,,10/23/2019,12/28/2019,66,67,Friday
2/22/2021,Bulls,Adam Mokoka,Adam Mokoka,placed on IL with NBA health and safety protocols,,2021,February,2021-02,other / unspecified,Other,,10/23/2019,12/28/2019,66,67,Monday
4/6/2021,Bulls,Adam Mokoka,Adam Mokoka,placed on IL with NBA health and safety protocols,,2021,April,2021-04,other / unspecified,Other,,10/23/2019,12/28/2019,66,67,Tuesday
5/1/2021,Bulls,Adam Mokoka,Adam Mokoka,placed on IL,,2021,May,2021-05,other / unspecified,Other,,10/23/2019,12/28/2019,66,67,Saturday
11/20/2024,Bulls,Adama Sanogo,Adama Sanogo,placed on IL with knee injury,,2024,November,2024-11,other / unspecified,knee,,11/20/2024,11/29/2024,9,10,Wednesday
1/13/2025,Bulls,Adama Sanogo,Adama Sanogo,placed on IL with right knee injury,,2025,January,2025-01,other / unspecified,knee,,11/20/2024,11/29/2024,9,10,Monday
2/4/2025,Bulls,Adama Sanogo,Adama Sanogo,placed on IL with knee injury,,2025,February,2025-02,other / unspecified,knee,,11/20/2024,11/29/2024,9,10,Tuesday
12/5/2024,76Ers,Adem Bona,Adem Bona,placed on IL with knee injury,,2024,December,2024-12,other / unspecified,knee,,12/5/2024,12/19/2024,14,15,Thursday
3/15/2025,76Ers,Adem Bona,Adem Bona,placed on IL with ankle injury,,2025,March,2025-03,other / unspecified,ankle,,12/5/2024,12/19/2024,14,15,Saturday
3/24/2025,76Ers,Adem Bona,Adem Bona,ankle injury (DTD),,2025,March,2025-03,day-to-day,ankle,3,12/5/2024,12/19/2024,14,15,Monday
4/3/2022,Magic,Admiral Schofield,Admiral Schofield,placed on IL with bruised left knee,,2022,April,2022-04,other / unspecified,knee,,4/3/2022,4/7/2022,4,5,Sunday
10/3/2022,Magic,Admiral Schofield,Admiral Schofield,sore left knee (DTD),,2022,October,2022-10,day-to-day,knee,3,4/3/2022,4/7/2022,4,5,Monday
3/7/2023,Magic,Admiral Schofield,Admiral Schofield,placed on IL with concussion,,2023,March,2023-03,concussion protocol,concussion,7,4/3/2022,4/7/2022,4,5,Tuesday
1/9/2024,Magic,Admiral Schofield,Admiral Schofield,placed on IL with illness,,2024,January,2024-01,other / unspecified,illness,,4/3/2022,4/7/2022,4,5,Tuesday
1/25/2016,Timberwolves,Adreian Payne,Adreian Payne,placed on IL,,2016,January,2016-01,other / unspecified,Other,,1/25/2016,2/2/2016,8,9,Monday
2/3/2017,Timberwolves,Adreian Payne,Adreian Payne,thrombocytopenia (blood disorder) (DTD),,2017,February,2017-02,day-to-day,Other,3,1/25/2016,2/2/2016,8,9,Friday
